,ibm.us,jpm.us,cat.us,mmm.us
19700105,0.009428223844282213,0.0,-0.004416150493232407,0.0038294613224407748
19700106,0.0006025911419103025,0.010597369893676545,-0.02206348291952298,0.011648016276703865
19700107,0.0010538994278830316,0.023741131683682193,-0.031161639962299703,0.0039217658001911015
19700108,0.0016543841179124108,-0.002569216726953094,0.004195293974585068,0.01537536935944317
19700109,-0.001201201201201152,-0.023216403999322233,-0.018466941147977756,-0.0036993193252442547
19700112,-0.0030066145520143417,0.018355308813324145,-0.009191289864906471,0.0037130551017379165
19700113,0.016661640530759803,-0.0025213806262562866,0.01419499439671279,-0.0036993193252442547
19700114,-0.0007415647015202032,0.007856532877882128,0.00963781461019031,0.011287687509282662
19700115,0.020705009276438036,0.0,-0.004924910317991138,-0.022519214764772144
19700116,-0.030463865057437922,-0.020674461955600743,-0.009470854209947532,-0.003906445635298295
19700119,-0.05369328833895759,0.0026648209032704706,0.0,-0.019407712806073674
19700120,0.018860448529994356,0.005315477012287628,0.0,0.008050043583038624
19700121,-0.004433382593139967,-0.013184096683375612,-0.009191289864906471,-0.0038148524923703464
19700122,0.0026562500000000266,0.0,0.0,0.0038294613224407748
19700123,0.0,0.00800222670656181,-0.004980699788320275,-0.007985757884028555
19700126,-0.02088203210222861,-0.013116112108242484,-0.02859466900262797,-0.0035891914064501984
19700127,-0.008912939678497378,-0.005386121992165704,-0.01996779388083736,-0.03185303349971702
19700128,-0.012927573470371101,-0.013362402419298092,0.010318764377259093,-0.008079090039332382
19700129,-0.006995851297486255,-0.043481360039917316,0.0,-0.012324509698853348
19700130,-0.010240026214467068,0.017065355093524026,-0.005009107468123775,-0.02918836805555547
19700202,0.023506042046018694,-0.008462778429073836,0.005034324942791546,0.0
19700203,0.0010512696102216168,0.01984112322187337,0.019906323185011843,0.030065943891807168
19700204,0.0,0.0,-0.014670238550835601,-0.02083333333333337
19700206,0.017601309864920145,0.0,-0.005009107468123775,-0.004284680874742541
19700210,-0.011021249603552219,-0.005380125184612061,0.009855072463768266,0.0042664007092199085
19700211,0.026216627916299418,0.02973307406752701,0.014542671259089035,0.0
19700212,-0.008515625000000138,-0.005287372107395383,-0.014334213504337945,0.016937931034482823
19700213,-0.008588763690804413,0.018397073036034772,0.0,0.0041232638888888395
19700216,0.001112700683515877,0.007727503812913206,0.0,0.020747784741733222
19700217,0.001270244522070696,0.010291595197255532,0.0,0.012174465382172261
19700218,0.003726609578179607,0.0127833816039149,0.009758897818599177,0.01626398912247673
19700219,0.00252784580140597,0.007362850474969651,0.0389109974101447,0.0
19700220,-0.006855251753210778,0.01001729369922022,0.004195293974585068,-0.007976123089589948
19700224,-0.014439860361789902,-0.00491051237319895,0.018709130540082386,-0.008092125739184608
19700225,0.001288037353083027,0.014836698915654756,0.00463595839524511,0.02421294843635602
19700226,-0.0020099694484643216,-0.009757189929300303,-0.009406614210495046,-0.00418687771253512
19700227,-0.011439619753484398,0.012276280932997263,0.0,0.0
19700302,-0.01426126640045644,0.0025212229527031838,0.013855709507883285,-0.0035891914064501984
19700303,-0.006613756613756627,0.012065068602171047,-0.008894910461828442,-0.007976123089589948
19700304,-0.010818908122503301,0.004969803724207411,0.017949479940564617,0.008040253138292375
19700305,-0.0012619888944978008,0.01183098591549303,0.009108425293396394,-0.016003705037822336
19700306,-0.012214640721084913,-0.007052709725315576,0.0,-0.0039744796569395335
19700309,-0.025584171925635446,-0.026199376947040443,-0.01313429381473119,-0.008085687283419185
19700310,0.030106774024155625,-0.0023673182123549186,-0.008970450281425957,0.004128731738301861
19700311,0.006202209005947257,0.0023729357062689527,0.0,0.0
19700312,0.000591066452756861,0.0,0.0,-0.004111755403268247
19700313,-0.013502109704641385,-0.0023673182123549186,0.009051647636514337,0.0
19700316,-0.01283147989734823,-0.007407407407407418,-0.008970450281425957,-0.032500529324581806
19700317,0.007365684575389997,-0.01715448730374103,0.01798497308170144,0.00842542947806102
19700318,-0.0005161290322579504,0.007362850474969651,0.030975765676759526,-0.0041775173611111605
19700320,-0.007913978494623719,-0.014915121185359759,-0.017154671434957636,-0.01236979166666663
19700323,0.006763201248590978,0.0,0.017454090624822394,-0.01279938475060427
19700324,0.018689174059081992,0.017598034332769075,0.0,0.008569361749485305
19700325,0.015218126479540128,0.01001729369922022,0.03414170764416635,0.02113103448275866
19700326,0.0006662225183209358,0.00746268656716409,0.0040525206678554415,-0.00410633239680136
19700330,0.010319573901464985,-0.014718614718614687,-0.004036164029706191,0.00830078125
19700331,0.005518945634266803,0.007420425698105859,-0.004268655103474406,0.004143126177024614
19700401,-0.0026214467109035855,0.0,-0.004069893640112898,0.01650412603150775
19700402,-0.016591375770020678,0.00746268656716409,0.004086525363700799,0.004006325777543562
19700403,-0.01695481500041751,0.0023729357062689527,0.008356848274365225,-0.003990339178830293
19700406,-0.018521665250637254,0.0,0.0,-0.020295202952029356
19700407,-0.0010387811634349209,-0.009757189929300303,-0.01232375417070286,0.0
19700408,0.012564991334488962,0.0,-0.008173050727401487,-0.008232445520581111
19700409,0.005562687205819428,0.0,0.0,0.0041232638888888395
19700413,-0.013637884872824468,-0.01005817966669964,0.0,-0.00826669548303438
19700414,-0.006701162100263058,0.0,0.0,-0.004195042222827516
19700415,-0.004782237403928247,0.0023906763621874827,-0.016827586206896616,-0.012583433636065289
19700416,-0.007465247983525103,-0.002384974659644268,0.004264870931537823,-0.0042664007092199085
19700417,0.0050142647185960065,-0.0050801872696483175,-0.03425346446133226,-0.01719436870513602
19700422,-0.025058325412598337,0.0,-0.008719541328237046,-0.021889924948828687
19700423,-0.010635469290082411,-0.015403760131839972,-0.01397758766116397,-0.01348601988025333
19700424,-0.0020603780345784806,-0.020768573868488627,0.0,0.009133227270048838
19700427,-0.023877917414721672,-0.02124393902396471,-0.004643773677135532,-0.009050566390283676
19700428,-0.037428729078536005,-0.02715802979542381,-0.018907305095150373,-0.009074303223145397
19700429,0.03429827075570824,0.01677901524032821,0.0476786384682768,0.009157400249747427
19700430,-0.007759098466654124,-0.011097499459537308,-0.03637123745819404,-0.01337575864710383
19700501,-0.003909886427108655,0.0,0.023613263092655767,0.004359770664118301
19700504,-0.04635514018691578,-0.005465277271733626,-0.02306853959796562,-0.03639174644704757
19700505,0.0,0.0,-0.00452432599938013,-0.009441530391854469
19700506,0.0156801254410035,0.0,0.009276553355746398,0.014266135061051566
19700507,0.007815515245079174,0.011210433763188865,0.004873234223675249,0.023524353540937293
19700508,0.0029679272379128374,-0.016593000507209688,0.0046654389195825985,0.009181469035045575
19700511,-0.017659411989308982,-0.005636604774535758,-0.014114627887083064,-0.013617173098650182
19700512,-0.010397434651637338,-0.0056685561853950794,-0.04728850325379608,-0.009163250542560952
19700513,-0.02631578947368407,-0.02559803264028626,-0.005009107468123775,-0.03285470917498179
19700514,-0.023295683743444928,-0.020496348132002518,-0.02517162471395895,-0.004655259184700444
19700518,-0.002867970910580775,-0.005980384339366873,-0.015815418321237784,0.009531522551706972
19700520,-0.031073688726804605,-0.012301926758727322,-0.04229565217391307,-0.043532964267740226
19700521,-0.020003763851527134,-0.03464346104672744,-0.005665722379603388,-0.009865824782951838
19700522,0.01051668436391573,-0.02281368821292773,-0.01687486302870911,-0.005114919622691616
19700526,0.003945975794947376,0.006853356329142635,0.023816936488169294,0.0
19700529,0.041346353625597354,0.03769538499608194,0.015913651145091023,0.020676691729323293
19700601,0.03262170790103758,0.06359047732602052,0.05734522917659879,0.005196001052354626
19700602,-0.014201526422567667,-0.01412503269683485,0.009855072463768266,0.009880259111431089
19700603,0.0,0.005647576090664463,-0.009758897818599399,0.0150317480886355
19700604,-0.041748333986672104,-0.014360018091361337,0.004830917874396157,-0.014809140814502686
19700605,-0.00439762732665161,-0.02917670452372756,-0.009743589743589798,-0.004794609304133779
19700608,-0.01397021058037995,0.008941232078147232,-0.01508285862247527,-0.015104166666666696
